Price1,Price2,Price3,Date
105.19392431664484,108.61861984207556,105.24081927206318,2023-04-12
105.60354019590231,108.63193627048723,106.18628741037445,2023-04-13
104.45479857354273,108.59625023855234,102.62916489609856,2023-04-14
106.26279388260717,108.64228046247322,105.8359620683951,2023-04-15
105.1262187279602,108.61247007872528,102.50832293128549,2023-04-16
104.96310764892321,108.57431768393062,102.6246512177852,2023-04-17
104.56023640734307,108.6209351722161,100.32288884742144,2023-04-18
103.44669767903332,108.57740969494334,101.31004443849861,2023-04-19
104.98295311653085,108.56083897517986,103.04672360060721,2023-04-20
104.31982107199748,108.53583850987772,100.51378400731724,2023-04-21
105.07600999123176,108.59975225670537,101.56976274033616,2023-04-22
103.95031668642902,108.59365168322799,99.87936582583694,2023-04-23
105.97739396618265,108.61928533428669,105.35949830640382,2023-04-24
104.48638028327291,108.62853811507561,102.6067026454264,2023-04-25
104.33320368550285,,,2023-04-26
,108.59034764566148,103.72611139694524,2023-04-27
103.1314385972744,108.53458510898716,102.53337255490675,2023-04-28
,,102.25399628951659,2023-04-29
104.19573065141472,108.56307214566885,98.97116704842443,2023-04-30
104.32046956985944,108.60557790121261,,2023-05-01
